Category,StarRating,Sentiment,OrderAccuracy,CustomizationError,FoodQuality,Comment
Food quality,1,Negative,Incorrect,None,Stale,"Fries were cold and stale, burger patty was dry. Not worth it."
Staff service,2,Negative,Correct,None,N/A,"Cashier was rude and ignored me while talking to coworkers. Waited 10 minutes at counter."
Timeliness,1,Negative,Incorrect,Wrong sauce,Fresh,"Drive-thru took over 15 minutes with only two cars ahead. Missing dipping sauce."
Cleanliness,2,Negative,Incorrect,None,N/A,"Tables were sticky and floor had spilled soda. Trash bins overflowing."
Environment,3,Neutral,Correct,None,Fresh,"Dining area was loud but clean. Music was too loud to hear my own thoughts."
Food quality,5,Positive,Correct,None,Fresh,"Quarter Pounder was hot and juicy, fries perfectly salted. Best meal I've had here."
Staff service,5,Positive,Correct,None,N/A,"The morning crew is amazing. Smiling, fast, and they remembered my usual order."
Timeliness,4,Positive,Correct,None,Hot,"Mobile order was ready when I walked in. Very efficient during lunch rush."
Cleanliness,4,Positive,Correct,None,N/A,"Restroom was spotless and dining area tables were wiped down frequently."
Environment,5,Positive,Correct,None,Fresh,"Renovated location with comfortable seating and USB charging ports. Great place to work."
Food quality,1,Negative,Incorrect,Missing ingredients,Undercooked,"Nuggets were pink inside and the burger was missing pickles. Threw half away."
Customization error,2,Negative,Incorrect,Wrong customizations,Fresh,"Asked for no onions, burger came loaded with them. Also charged for extra cheese I didn't receive."
Order accuracy,1,Negative,Missing item,None,N/A,"Bag was missing an entire Big Mac meal. Had to go back and wait again."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine but seemed bored. No greeting, no thank you."
Timeliness,3,Neutral,Incorrect,None,Average,"Drive-thru moved fast but they forgot straws and napkins."
Cleanliness,5,Positive,Correct,None,N/A,"Cleanest McDonald's I've visited. Floors, windows, and counters spotless."
Food quality,4,Positive,Correct,None,Fresh,"Filet-O-Fish was hot and bun was soft. Fries could've been crispier but still good."
Environment,1,Negative,Correct,None,N/A,"PlayPlace smelled like feet and there were kids screaming. Impossible to relax."
Customization error,1,Negative,Incorrect,Wrong drink,Cold,"Ordered Diet Coke, got regular Coke. Burger had pickles when I said no pickles."
Order accuracy,3,Neutral,Partial error,None,Average,"One sandwich was wrong but the rest of the order was correct. Fries were lukewarm."
Food quality,3,Neutral,Correct,None,Adequate,"McChicken was okay, nothing special. Bun was a little dry but edible."
Staff service,4,Positive,Correct,None,N/A,"Friendly manager came out to check on tables. Rare to see that level of care."
Timeliness,2,Negative,Incorrect,None,Warm,"Waited inside for 8 minutes after ordering at kiosk. Food came out warm not hot."
Food quality,2,Negative,Correct,None,Soggy,"Burger wrapper was damp and fries were limp. Seemed like it sat under a heat lamp."
Staff service,1,Negative,Incorrect,None,N/A,"Manager was arguing with a customer loudly. Unprofessional atmosphere."
Timeliness,5,Positive,Correct,None,Hot,"Drive-thru was a well-oiled machine. Paid and received food in under two minutes."
Cleanliness,1,Negative,Missing item,None,N/A,"Found a hair in my fries container. Disgusting. Left immediately."
Environment,4,Positive,Correct,None,Fresh,"Nice modern interior with local sports memorabilia. Comfortable booths."
Food quality,5,Positive,Correct,None,Perfect,"Breakfast burrito was stuffed with fresh eggs and sausage. Hot sauce packets were a nice touch."
